text,label
"Tôi chọn phương án 2 vì tiết kiệm chi phí hơn",normal
"Phương án này hợp lý hơn vì dễ triển khai",normal
"Tôi vote option A vì nó công bằng hơn",normal
"Mình thích phương án này vì rõ ràng và minh bạch",normal
"Tôi đồng ý với lựa chọn số 1 vì hiệu quả cao",normal
"Theo tôi option 3 phù hợp hơn với sinh viên",normal
"Tôi ủng hộ đáp án này vì ít tốn thời gian",normal
"Phương án B tốt hơn vì dễ áp dụng thực tế",normal
"Tôi thấy lựa chọn này an toàn và hợp lý",normal
"Vote cho option 2 vì chi phí thấp hơn",normal
"Mình chọn phương án A vì đơn giản và nhanh",normal
"Tôi thích câu trả lời này vì có lợi lâu dài",normal
"Phương án 1 có vẻ công bằng hơn cho mọi người",normal
"Tôi nghiêng về đáp án này vì dễ thực hiện",normal
"Theo mình nên chọn lựa chọn thứ hai",normal
"Mình vote phương án 3 vì phù hợp ngân sách",normal
"Option này tốt vì giảm rủi ro",normal
"Chọn cái này vì dễ hiểu và dễ dùng",normal
"Tôi thấy phương án đó đáng tin hơn",normal
"Mình đồng ý với phương án này",normal
"Toi chon phuong an 2 vi tiet kiem chi phi hon",normal
"Toi vote option A vi cong bang hon",normal
"Phuong an nay hop ly hon vi de trien khai",normal
"Minh thay lua chon nay rat hop ly",normal
"Toi ung ho dap an so 1 vi hieu qua",normal
"Option B tot hon vi de ap dung",normal
"Toi chon cai nay vi it ton thoi gian",normal
"Minh vote phuong an 3 vi phu hop ngan sach",normal
"Phuong an 1 cong bang hon cho moi nguoi",normal
"Toi thay dap an nay dang tin hon",normal
"Click link nhận quà miễn phí ngay!!!",spam
"Khuyến mãi sốc, inbox ngay để nhận thưởng",spam
"Truy cập website này để kiếm tiền nhanh",spam
"Nhấn vào link này để trúng quà",spam
"Tặng quà free 100 phần trăm, click ngay",spam
"Kiếm tiền online siêu dễ, ib ngay",spam
"Theo dõi kênh mình để nhận giftcode",spam
"Bấm link bio để nhận ưu đãi",spam
"Inbox mình để được tặng acc miễn phí",spam
"Chúc mừng bạn đã trúng thưởng, click ngay",spam
"Nhận quà miễn phí chỉ hôm nay",spam
"Truy cập trang này để nhận ưu đãi lớn",spam
"Comment số điện thoại để nhận quà",spam
"Ai cần tăng follow ib mình nha",spam
"Mua acc giá rẻ, nhắn tin ngay",spam
"Bán nick game giá tốt, liên hệ gấp",spam
"Share bài viết này để nhận phần thưởng",spam
"Tham gia nhóm kín để kiếm tiền",spam
"Click vao link de nhan qua mien phi ngay",spam
"Khuyen mai soc inbox ngay de nhan thuong",spam
"Truy cap website nay de kiem tien nhanh",spam
"Nhan vao link nay de trung qua",spam
"Tang qua free 100 phan tram click ngay",spam
"Kiem tien online sieu de ib ngay",spam
"Bam link bio de nhan uu dai",spam
"Inbox minh de duoc tang acc mien phi",spam
"Chuc mung ban da trung thuong click ngay",spam
"Comment so dien thoai de nhan qua",spam
"Ai can tang follow ib minh nha",spam
"Ban nick game gia re lien he gap",spam
"Mày ngu thế",toxic
"Đồ dốt, ý kiến như rác",toxic
"Câm đi, phát biểu ngu quá",toxic
"Ngu thì im đi",toxic
"Óc chó mới chọn đáp án đó",toxic
"Phát biểu như cái đầu bã đậu",toxic
"Đần độn vậy cũng nói được",toxic
"Đồ vô học, cút đi",toxic
"Mày biết cái gì mà nói",toxic
"Ngu hết phần người khác",toxic
"Bình luận ngu như bò",toxic
"Đúng là loại não ngắn",toxic
"Im mồm đi đồ ngu",toxic
"Loại như mày thì biết gì",toxic
"Nói chuyện như rác rưởi",toxic
"Đần thế cũng vote",toxic
"Chọn vậy chỉ có đồ ngu",toxic
"Ý kiến ngu học thật sự",toxic
"Nhìn comment là biết không có não",toxic
"Cút khỏi đây đi",toxic
"May ngu the",toxic
"Do dot y kien nhu rac",toxic
"Cam di phat bieu ngu qua",toxic
"Ngu thi im di",toxic
"Oc cho moi chon dap an do",toxic
"Phat bieu nhu cai dau ba dau",toxic
"Dan don vay cung noi duoc",toxic
"Do vo hoc cut di",toxic
"May biet cai gi ma noi",toxic
"Binh luan ngu nhu bo",toxic
"Hôm nay trời đẹp quá",off_topic
"Tôi vừa ăn cơm xong",off_topic
"Ai thích nghe nhạc không",off_topic
"Mai đi chơi không mọi người",off_topic
"Có ai xem phim mới chưa",off_topic
"Tối nay ăn gì đây",off_topic
"Mình đang buồn ngủ quá",off_topic
"Hôm qua tôi đi du lịch",off_topic
"Cho xin bài nhạc hay",off_topic
"Trời mưa to thật",off_topic
"Ai online nói chuyện đi",off_topic
"Cuối tuần này đi cafe không",off_topic
"Nhà tôi nuôi một con mèo",off_topic
"Tôi đang học tiếng Anh",off_topic
"Có ai chơi game này không",off_topic
"Sáng nay kẹt xe quá",off_topic
"Đi ngủ thôi mọi người",off_topic
"Tôi đang xem đá bóng",off_topic
"Mấy giờ rồi nhỉ",off_topic
"Hôm nay mình mệt ghê",off_topic
"Hom nay troi dep qua",off_topic
"Toi vua an com xong",off_topic
"Ai thich nghe nhac khong",off_topic
"Mai di choi khong moi nguoi",off_topic
"Co ai xem phim moi chua",off_topic
"Toi nay an gi day",off_topic
"Minh dang buon ngu qua",off_topic
"Hom qua toi di du lich",off_topic
"Cho xin bai nhac hay",off_topic
"Troi mua to that",off_topic
